окупант,0,0,0,3
харків,1,0,0,4
поліція,0,0,0,1
трансформер,0,1,0,0
привітний,0,0,0,1
держава,0,1,6,1
більшість,0,0,0,1
взяти,0,0,0,1
бетмен,0,1,0,0
опір,0,0,0,1
повісити,0,0,1,0
мамин,0,0,1,0
стати,1,3,2,0
гість,0,0,3,0
первістка,1,0,0,0
зустрічати,0,0,0,1
сім'я,0,0,1,0
рятувальник,0,0,0,1
читати,1,0,0,0
минути,0,0,0,1
бурчання,0,0,1,0
клятва,0,0,1,0
вистояти,0,0,0,1
усмішка,0,0,1,0
укусити,0,0,1,0
боротьба,0,1,0,2
франківський,1,0,0,0
єднати,0,0,2,0
дрон,0,0,1,2
побратим,0,0,1,0
грудень,1,0,0,0
олів'є,1,0,0,0
русскій,0,0,0,1
особливий,0,0,1,0
впевнений,0,0,1,0
крейсер,0,0,0,1
пишатися,1,1,2,1
контрнаступ,0,0,0,1
сьогоднішній,0,0,1,0
достаток,1,0,0,0
громадянин,1,3,5,0
другий,0,0,0,1
неймовірний,0,1,0,1
зарплата,0,0,1,0
значення,1,1,0,0
україна,5,14,31,20
означати,1,0,0,1
підсумок,0,1,0,0
повітряний,0,0,0,1
бюджет,0,1,1,0
апарат,0,0,1,0
привітання,1,1,1,0
бруд,0,1,0,0
совка,1,0,0,0
виплакати,0,0,0,1
болячий,0,0,1,0
чекати,2,1,1,1
логічно,0,1,0,0
питання,1,0,1,0
платформа,0,0,1,0
кістка,0,0,0,1
вивозити,0,0,1,0
надійний,0,0,0,1
лобановський,1,0,0,0
названий,1,0,0,0
освітлений,1,0,0,0
мужньо,0,0,1,0
кинути,0,0,0,1
вітати,0,1,0,0
успіх,0,0,0,1
новіков,0,1,0,0
вечір,0,0,1,0
природа,0,2,0,0
сума,0,0,1,1
боєць,0,0,0,1
вагон,0,0,1,0
відкрити,1,0,0,1
воювати,0,0,0,1
імплементація,1,0,0,0
сильніший,0,1,1,0
четверо,0,1,2,0
бабуся,0,0,1,1
зберігаючи,0,0,1,0
стяг,0,0,0,1
розвідка,0,0,0,1
плакати,1,1,0,0
аплодувати,0,0,1,1
наступний,0,4,3,0
заспокійливий,0,0,1,0
паспорт,1,0,1,0
луганський,1,0,1,0
міст,0,2,1,0
канапка,1,0,0,0
білий,0,0,0,1
минулий,0,0,1,0
залишатися,0,3,0,1
сталий,0,0,1,1
ремінь,1,0,0,0
тихо,0,0,1,0
комунальник,0,0,0,1
вакцинуватися,0,0,2,0
податок,1,0,0,0
підтримувати,0,1,0,1
домівка,0,0,0,2
наприклад,0,1,0,0
їдучий,1,0,0,0
успішний,3,0,0,0
подорослішати,0,1,0,0
небайдужий,0,0,1,0
росомаха,0,1,0,0
ссо,0,0,0,1
інтернет,1,1,0,0
солдат,1,0,0,0
навчитися,2,0,0,0
шум,0,0,1,0
динамо,1,0,0,0
розмовляти,1,0,0,0
голодний,0,0,1,0
сонячний,0,0,0,1
роза,1,0,0,0
черкащина,1,0,0,0
диверсифікація,1,0,0,0
вакцина,0,0,1,0
здобувати,0,0,1,0
скасовувати,0,0,1,0
реальний,0,0,1,0
зріст,0,0,1,0
окупований,0,0,0,1
найкращий,0,2,2,2
побажати,0,0,1,1
велич,0,1,0,0
каденюк,1,0,0,0
знищений,0,0,0,2
російськомовний,1,0,0,0
жванецький,0,1,0,0
перестати,1,0,0,0
відкриття,0,0,1,0
тил,0,0,1,0
підіймати,0,1,1,0
повертатися,0,0,1,0
водити,0,1,0,0
кримський,0,0,1,1
житло,0,1,1,0
сказати,0,2,0,0
космічний,0,0,1,0
вогонь,0,1,0,0
прикрасити,0,0,1,0
винахід,0,0,1,0
чернігів,0,0,0,2
заглушка,1,0,0,0
ззовні,0,0,1,0
прожити,0,0,1,0
повага,1,0,1,0
везти,0,0,1,0
програти,0,0,2,0
прапор,0,1,1,2
побажання,0,0,0,1
достеменно,0,0,0,1
бавовна,0,0,0,1
пауза,0,0,0,1
зрозуміло,0,2,0,0
відчувати,0,0,1,0
новий,2,9,5,7
неабиякий,0,0,1,0
синьо-жовтий,0,0,0,2
посварити,0,1,0,0
людський,0,0,1,0
вбивати,0,0,0,3
відповісти,1,0,0,0
новина,0,1,0,1
пояснення,0,0,0,1
сема,0,0,1,0
неординарний,0,0,1,0
визнання,0,0,1,0
вагання,0,0,1,0
воїн,0,0,0,4
патон,0,1,0,0
бік,0,0,2,0
більший,0,1,0,0
прибрати,0,0,1,0
подякувати,0,1,0,1
любити,3,0,2,0
будувати,1,0,5,0
житель,3,0,0,0
фантастичний,0,1,0,0
слух,1,0,0,0
пластик,1,0,0,0
пам’ятник,1,1,0,0
москва,0,0,0,1
найсильніший,0,3,0,0
годинник,0,1,0,0
корвет,0,1,1,0
поганий,0,1,0,0
втомитися,0,1,0,0
доброволець,0,0,2,0
підкорити,0,0,1,0
дипломат,0,0,0,1
луганщина,0,0,0,1
вимикати,1,0,0,0
складно,0,0,0,2
насправді,2,2,0,0
суперрятувальник,0,1,0,0
бойовий,0,0,1,0
марув,1,0,0,0
ввп,1,0,0,0
різниця,1,0,0,0
парламент,0,0,0,1
диван,0,0,1,0
паніка,0,0,0,1
віддати,0,0,0,1
президент,5,4,2,0
розділити,0,0,1,0
крим,1,4,8,2
відпочити,1,0,0,0
здатний,0,0,0,2
нормальний,0,0,1,0
плавити,0,0,1,0
удома,1,0,0,0
посміхатися,2,0,0,0
святослав,0,1,0,0
перебувати,0,0,1,0
скальпель,0,0,0,1
військовий,0,2,3,0
жаль,0,3,4,0
формат,1,0,0,0
пояс,0,0,1,0
відірваний,0,0,0,1
полюс,0,0,1,0
обійматися,0,0,0,1
красти,0,0,0,1
суперпілот,0,1,0,0
хотітися,0,1,2,0
порятунок,0,0,1,1
безпечно,0,0,1,0
важливий,0,0,1,0
тримати,1,0,0,2
зневіра,0,0,0,1
торонто,0,0,0,1
бородянка,0,0,0,1
народний,0,0,1,0
нато,1,0,0,1
паралімпієць,0,0,1,0
полтава,0,0,0,1
пісок,0,2,0,0
традиційно,0,0,1,0
бізнес,0,1,0,1
гірший,0,0,1,0
неправильний,1,0,0,0
борець,0,0,0,1
шампанський,1,0,0,0
повірити,0,0,0,1
можливий,0,1,0,0
блокпост,0,0,0,1
хороший,0,1,0,0
новосибірський,1,0,0,0
вийти,1,0,0,0
розумний,0,1,0,0
басейн,0,0,1,0
втекти,1,0,0,0
відповідальність,0,1,0,0
комарик,0,0,1,0
олімпіада,0,0,1,0
дід,0,0,0,1
антонов,1,0,0,0
тінь,0,0,1,0
перемогти,0,0,0,5
онук,0,0,0,1
сперечатися,0,1,0,0
ворожий,0,0,0,2
драмтеатр,0,0,0,1
раз,3,1,7,2
вивчати,0,0,1,0
лабіринт,0,0,0,1
величезний,1,0,0,0
афганістан,0,0,1,0
